Player Name,Presenze Totali,Gol,Assist,Sostituito In,Sostituito Out,Cartellino Giallo,Cartellino Rosso,Gol su Rigore,Gol per Minuti,Minuti Giocati,Presenze in Nazionale,Gol in Nazionale,Assist in Nazionale,Sostituito In (Nazionale),Sostituito Out (Nazionale),Cartellino Giallo in Nazionale,Cartellino Rosso in Nazionale,Gol su Rigore in Nazionale,Gol per Minuti in Nazionale,Minuti Giocati in Nazionale
Bernardo Corradi,503,110,33,128,104,82,2,11,316',34.721',13,2,0,8,4,0,0,0,267',533'
Marco Di Vaio,698,269,60,159,217,59,2,15,179',48.229',14,2,0,7,7,0,0,0,336',671'
Felice Berardo,21,4,0,70,92,0,0,0,473',1.890',14,2,0,7,8,0,0,0,645',1.290'
Simone Zaza,377,117,27,126,93,105,6,4,206',24.065',18,2,3,9,6,3,0,0,427',853'
Cosimo Nocera,223,86,1,1,5,0,0,7,231',19.856',1,1,0,1,3,0,0,0,44',44'
Sergio Pellissier,618,165,48,185,177,46,2,17,243',40.118',1,1,0,1,12,0,0,0,28',28'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Francesco Caputo,21,4,0,5,11,0,0,1,341',1.364',2,1,1,1,1,0,0,0,82',82'
Giulio Cappelli,56,4,0,70,92,0,1,1,1.238',4.950',2,1,0,7,8,0,0,0,180',180'
Renato Cappellini,298,74,4,5,32,0,1,0,344',25.490',2,1,0,1,3,0,0,0,121',121'
Renato Cattaneo,345,153,0,70,92,0,1,12,203',31.030',2,1,0,7,8,0,0,0,180',180'
Guglielmo Trevisan,420,107,0,70,92,0,8,11,348',37.259',2,1,0,7,8,0,0,0,180',180'
Attila Sallustro,284,118,2,4,1,0,1,0,215',25.425',2,1,0,6,4,0,0,0,180',180'
Virginio De Paoli,374,142,4,2,13,0,0,16,234',33.266',3,1,0,3,1,0,0,0,226',226'
Felice Borel,315,161,0,70,92,0,2,11,175',28.170',3,1,0,7,8,0,0,0,270',270'
Pasquale Vivolo,235,74,2,3,1,0,0,13,283',20.933',4,1,0,1,1,0,0,0,314',314'
Pio Ferraris,42,16,2,70,92,0,0,0,236',3.780',4,1,0,7,8,0,0,0,390',390'
Renzo Burini,337,127,5,2,1,0,0,21,238',30.286',4,1,0,1,1,0,0,0,270',270'
Gianfranco Petris,306,93,0,99,90,0,4,0,293',27.270',4,1,0,1,3,0,0,0,300',300'
Giuseppe Savoldi,544,229,5,14,18,2,1,48,208',47.704',4,1,0,11,7,0,0,1,360',360'
Marino Perani,459,90,2,13,32,0,1,11,443',39.849',4,1,1,6,10,0,0,0,360',360'
Stefano Okaka,499,116,37,188,133,75,3,1,256',29.669',5,1,1,5,5,0,0,0,98',98'
Angelo Mattea,129,36,1,70,92,0,0,0,323',11.640',5,1,0,7,8,0,0,0,450',450'
Alcides Ghiggia,216,19,0,4,1,0,3,1,1.008',19.155',5,1,0,6,4,0,1,0,428',428'
Anfilogino Guarisi,137,42,0,70,92,0,1,8,293',12.292',6,1,0,7,8,0,0,0,540',540'
Sergio Bertoni,252,42,1,70,92,0,0,2,542',22.770',6,1,0,7,8,0,0,0,600',600'
Alessandro Matri,498,127,30,198,180,41,2,7,219',27.829',7,1,0,6,1,0,0,0,228',228'
Enrico Rivolta,363,58,6,99,90,0,1,3,563',32.670',8,1,0,1,3,0,0,0,742',742'
Mattia Destro,15,0,0,12,3,2,0,0,356',356',8,1,0,5,3,1,0,0,291',291'
Giampaolo Menichelli,400,101,5,7,9,3,1,3,351',35.452',9,1,0,4,8,0,0,0,810',810'
Wilfried Gnonto,44,9,3,18,22,7,0,0,243',2.190',13,1,2,8,3,0,0,0,501',501'
Bruno Giordano,472,179,11,33,75,15,2,35,218',39.093',13,1,0,5,4,0,0,0,698',698'
Daniele Massaro,610,111,35,105,146,24,0,0,408',45.266',15,1,0,10,5,1,0,0,821',821'
Sebastian Giovinco,494,166,121,114,159,60,1,20,205',34.071',23,1,3,18,3,1,0,0,808',808'
Luigi Riva,374,205,2,1,7,0,0,23,163',33.362',42,35,2,1,3,1,0,2,106',3.713'
Alberto Orlando,346,95,1,2,1,2,0,10,327',31.094',5,4,0,1,1,0,0,0,102',406'
Roberto Mancini,739,204,84,69,175,37,8,29,292',59.629',36,4,4,13,13,1,0,0,519',2.074'
Dino Da Costa,364,136,0,70,92,0,2,0,241',32.730',1,1,0,7,8,0,0,0,90',90'
Gianluca Scamacca,244,82,15,92,84,24,1,4,171',14.033',15,1,0,10,5,0,0,0,570',570'
Ciro Immobile,593,329,74,100,170,86,3,75,131',43.212',57,17,8,9,30,6,0,2,232',3.947'
Andrea Belotti,483,172,42,116,112,43,0,30,196',33.675',44,12,7,22,15,4,0,1,177',2.128'
Moise Kean,284,90,11,146,93,35,3,2,144',12.944',15,4,2,10,3,1,0,0,155',620'
Giacomo Raspadori,258,73,25,88,83,17,0,6,212',15.470',27,6,4,11,13,0,0,0,224',1.344'
Lorenzo Lucca,164,55,16,55,57,26,3,5,179',9.848',0,0,0,0,0,0,0,0,0',0'
Mario Balotelli,495,210,43,149,164,155,9,45,151',31.653',36,14,5,7,16,9,0,3,177',2.483'
Nicolò Cambiaghi,207,34,20,65,89,22,1,0,370',12.575',10,1,2,4,4,1,0,0,476',476'
Federico Chiesa,324,77,52,67,123,47,1,2,295',22.699',46,7,7,17,19,6,0,0,378',2.648'
Domenico Berardi,398,149,95,40,163,98,8,52,207',30.788',28,8,3,11,16,3,0,1,196',1.570'
Matteo Politano,533,94,63,163,268,48,3,8,342',32.102',12,3,1,4,7,0,0,0,209',626'
Mattia Zaccagni,352,43,48,71,165,68,2,4,555',23.845',5,0,1,3,2,0,0,0,0,253'
Riccardo Orsolini,305,86,44,91,105,20,1,13,225',19.317',7,2,3,6,1,1,0,1,84',167'
Andrea Pinamonti,259,86,18,60,92,18,2,17,209',18.005',1,0,0,1,3,0,0,0,0,-1'
Federico Bonazzoli,268,64,11,126,83,23,1,7,214',13.712',9,2,0,5,4,0,0,1,190',379'
Nicolò Zaniolo,265,60,31,78,115,71,3,3,269',16.162',19,2,1,10,7,6,0,0,439',878'
Leonardo Pavoletti,450,145,25,147,109,79,1,3,193',27.956',1,1,0,1,3,0,0,0,18',18'
Andrea Petagna,388,84,40,129,123,44,2,14,278',23.319',1,0,0,1,4,0,0,0,0,21'
Patrick Cutrone,329,108,30,122,108,22,1,3,177',19.105',1,0,0,1,9,0,0,0,0,16'
Lorenzo Insigne,598,195,122,100,223,54,2,41,220',42.939',54,10,10,13,25,3,0,1,371',3.708'
Andrea Colpani,272,41,22,80,123,24,0,5,395',16.210',0,0,0,0,0,0,0,0,0',0'
Giacomo Bonaventura,552,90,69,108,209,63,2,0,437',39.310',18,1,4,7,10,1,0,0,934',934'
Antonio Candreva,692,106,121,137,242,72,2,23,458',48.573',54,7,13,11,24,3,0,3,513',3.588'
Davide Frattesi,306,52,24,68,118,28,0,2,409',21.249',14,4,1,5,4,0,0,0,206',822'
Matteo Pessina,315,41,18,53,88,31,1,13,559',22.900',16,5,0,8,6,2,0,0,169',844'
Gianluca Gaetano,261,98,39,65,105,25,1,17,170',16.642',3,1,0,2,1,0,0,0,93',93'
Roberto Piccoli,161,54,5,80,54,9,0,3,143',7.740',4,0,0,2,2,0,0,0,0,123'
Michael Folorunsho,265,38,17,47,94,59,2,2,496',18.835',0,0,0,2,5,0,0,0,0,0
Lorenzo Colombo,158,41,5,71,64,17,0,1,197',8.076',20,4,2,10,9,1,0,0,244',977'
Stephan El Shaarawy,507,124,60,168,199,26,0,0,246',30.489',31,7,4,16,14,0,0,0,200',1.403'
Matteo Cancellieri,139,44,17,68,44,26,0,2,153',6.716',1,0,0,1,3,1,0,0,0,5'
Gennaro Tutino,342,110,32,86,157,38,3,16,202',22.201',5,0,1,3,2,0,0,0,0,207'
